,text
0," I`d have responded, if I were going"
1, Sooo SAD I will miss you here in San Diego!!!
2,my boss is bullying me...
3, what interview! leave me alone
4," Sons of ****, why couldn`t they put them on the releases we already bought"
5,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth
6,2am feedings for the baby are fun when he is all smiles and coos
7,Soooo high
8, Both of you
9, Journey!? Wow... u just became cooler.  hehe... (is that possible!?)
10," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff"
11,I really really like the song Love Story by Taylor Swift
12,My Sharpie is running DANGERously low on ink
13,i want to go to music tonight but i lost my voice.
14,test test from the LG enV2
15,"Uh oh, I am sunburned"
16," S`ok, trying to plot alternatives as we speak *sigh*"
17,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw"
18,is back home now      gonna miss every one
19,Hes just not that into you
20," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3"
21,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet
22,is cleaning the house for her family who is comming later today..
23,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness
24,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH
25,"the free fillin` app on my ipod is fun, im addicted"
26,  I`m sorry.
27,On the way to Malaysia...no internet access to Twit
28,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?
29,Went to sleep and there is a power cut in Noida  Power back up not working too
30,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?
31,i hope unni will make the audition . fighting dahye unni !
32, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.
33, That`s very funny.  Cute kids.
34," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army."
35,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4"
36,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY
37,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned"
38,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....
39,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day"
